ApplicationID,CandidateID,JobID,ApplicationDate,Status,Source,ResumeMatch
A1001,C0001,J049,2025-01-03,Interviewed,Job Portal,45
A1002,C0001,J018,2024-06-03,Offered,Job Portal,55
A1003,C0001,J012,2024-11-10,Offered,Referral,86
A1004,C0001,J046,2024-02-23,Interviewed,Careers Site,60
A1005,C0002,J048,2024-07-01,Rejected,Job Portal,56
A1006,C0002,J030,2024-05-09,Applied,LinkedIn,76
A1007,C0002,J018,2025-01-03,Rejected,Job Portal,84
A1008,C0002,J032,2024-07-01,Shortlisted,LinkedIn,49
A1009,C0002,J007,2025-02-02,Interviewed,LinkedIn,64
A1010,C0003,J050,2024-10-26,Applied,LinkedIn,35
A1011,C0003,J013,2025-05-30,Applied,Referral,40
A1012,C0003,J039,2025-01-27,Applied,Careers Site,53
A1013,C0003,J024,2024-06-19,Rejected,Careers Site,57
A1014,C0004,J038,2025-03-10,Rejected,LinkedIn,53
A1015,C0004,J050,2025-04-01,Applied,Careers Site,54
A1016,C0005,J049,2025-07-25,Shortlisted,Careers Site,63
A1017,C0005,J019,2024-11-13,Applied,Careers Site,37
A1018,C0005,J017,2024-07-28,Rejected,Careers Site,61
A1019,C0005,J047,2024-12-28,Shortlisted,Job Portal,48
A1020,C0006,J018,2025-03-05,Applied,Job Portal,52
A1021,C0006,J047,2024-04-15,Rejected,Job Portal,69
A1022,C0006,J043,2024-12-08,Applied,Job Portal,74
A1023,C0006,J024,2024-02-14,Interviewed,Referral,71
A1024,C0006,J012,2024-11-19,Rejected,Campus,51
A1025,C0006,J035,2024-04-24,Shortlisted,Referral,44
A1026,C0006,J020,2024-07-08,Rejected,LinkedIn,48
A1027,C0007,J047,2024-08-02,Interviewed,LinkedIn,37
A1028,C0007,J025,2024-02-08,Interviewed,Campus,31
A1029,C0008,J022,2025-01-26,Interviewed,Careers Site,31
A1030,C0008,J047,2024-03-06,Rejected,Job Portal,59
A1031,C0008,J008,2025-04-16,Interviewed,Careers Site,49
A1032,C0009,J031,2024-02-11,Offered,Campus,74
A1033,C0009,J023,2024-04-29,Interviewed,LinkedIn,63
A1034,C0009,J001,2025-06-28,Rejected,Referral,57
A1035,C0009,J035,2024-10-26,Rejected,Campus,51
A1036,C0010,J040,2024-10-03,Rejected,Careers Site,40
A1037,C0010,J038,2025-03-10,Applied,Careers Site,50
A1038,C0010,J030,2024-10-17,Shortlisted,Campus,42
A1039,C0010,J003,2025-03-30,Rejected,LinkedIn,72
A1040,C0010,J037,2025-07-26,Applied,Careers Site,55
A1041,C0010,J042,2024-12-04,Applied,Campus,43
A1042,C0011,J013,2024-01-14,Applied,Job Portal,55
A1043,C0011,J032,2025-01-16,Interviewed,Job Portal,46
A1044,C0012,J047,2024-08-04,Interviewed,Careers Site,40
A1045,C0012,J040,2024-04-03,Rejected,Referral,48
A1046,C0012,J017,2025-06-04,Rejected,Careers Site,56
A1047,C0012,J050,2024-03-13,Rejected,Campus,41
A1048,C0013,J018,2025-06-21,Shortlisted,LinkedIn,46
